,id,name,imageUrl,thumbnailUrl,mobileImageUrl,productCount,comparable,discountedCount,childCount,children,boutique,slug,preferredDisplayStyle,promotionContentType,promotionContentId,promotionRecommendationCarouselId
249,5904,Fagyasztott desszert specialitás,,,,8,False,0,0,[],False,fagyasztott-desszert-specialitas,,,,
250,5905,"Fagyasztott desszert, leveles tészta, réteslap, torta",,,,7,False,0,0,[],False,fagyasztott-desszert-leveles-teszta-reteslap-torta,,,,
251,5906,Fagyasztott péksütemény,,,,18,False,2,0,[],False,fagyasztott-peksutemeny,,,,
252,5907,Fagyasztott roló,,,,3,False,0,0,[],False,fagyasztott-rolo,,,,
253,5908,Fagyasztott darabolt baromfi,,,,1,False,0,0,[],False,fagyasztott-darabolt-baromfi,,,,
254,5909,Fagyasztott egész baromfi,,,,1,False,0,0,[],False,fagyasztott-egesz-baromfi,,,,
255,5910,Fagyasztott töltetlen panírozott hús,,,,19,False,0,0,[],False,fagyasztott-toltetlen-panirozott-hus,,,,
256,5911,Fagyasztott töltött panírozott hús,,,,4,False,0,0,[],False,fagyasztott-toltott-panirozott-hus,,,,
257,5912,Fagyasztott rántott darabolt baromfi,,,,5,False,0,0,[],False,fagyasztott-rantott-darabolt-baromfi,,,,
258,5913,Fagyasztott belsőség,,,,3,False,0,0,[],False,fagyasztott-belsoseg,,,,
259,5915,Fagyasztott egész hal,,,,1,False,0,0,[],False,fagyasztott-egesz-hal,,,,
260,5916,Fagyasztott garnélarák,,,,7,False,0,0,[],False,fagyasztott-garnelarak,,,,
261,5917,Fagyasztott halfilé,,,,33,False,0,0,[],False,fagyasztott-halfile,,,,
262,5918,Fagyasztott halrudacskák,,,,14,False,0,0,[],False,fagyasztott-halrudacskak,,,,
263,5920,Fagyasztott rántott halszelet,,,,7,False,0,0,[],False,fagyasztott-rantott-halszelet,,,,
